episode_id,season,episode,title,source,char_count,word_count,approx_tokens,segment_target_tokens,est_segments
S01E01,1,1,Pilot,ingestion/normalized_docs_txt/scripts/season_01/s01e01_pilot_script.txt,17912,3282,4478,1800,3
S01E02,1,2,Diversity Day,ingestion/normalized_docs_txt/scripts/season_01/s01e02_diversity_day_script.txt,15819,2932,3955,1800,3
S01E03,1,3,Health Care,ingestion/normalized_docs_txt/scripts/season_01/s01e03_health_care_script.txt,17727,3270,4432,1800,3
S01E04,1,4,The Alliance,ingestion/normalized_docs_txt/scripts/season_01/s01e04_the_alliance_script.txt,19240,3482,4810,1800,3
S01E05,1,5,Basketball,ingestion/normalized_docs_txt/scripts/season_01/s01e05_basketball_script.txt,16946,3076,4237,1800,3
S01E06,1,6,Hot Girl,ingestion/normalized_docs_txt/scripts/season_01/s01e06_hot_girl_script.txt,20083,3699,5021,1800,3
S02E01,2,1,The Dundies,ingestion/normalized_docs_txt/scripts/season_02/s02e01_the_dundies_script.txt,19713,3599,4929,1800,3
S02E02,2,2,Sexual Harassment,ingestion/normalized_docs_txt/scripts/season_02/s02e02_sexual_harassment_script.txt,19582,3608,4896,1800,3
S02E03,2,3,Office Olympics,ingestion/normalized_docs_txt/scripts/season_02/s02e03_office_olympics_script.txt,18001,3258,4501,1800,3
S02E04,2,4,The Fire,ingestion/normalized_docs_txt/scripts/season_02/s02e04_the_fire_script.txt,18468,3359,4617,1800,3
S02E05,2,5,Halloween,ingestion/normalized_docs_txt/scripts/season_02/s02e05_halloween_script.txt,18315,3349,4579,1800,3
S02E06,2,6,The Fight,ingestion/normalized_docs_txt/scripts/season_02/s02e06_the_fight_script.txt,16348,2991,4087,1800,3
S02E07,2,7,The Client,ingestion/normalized_docs_txt/scripts/season_02/s02e07_the_client_script.txt,17102,3086,4276,1800,3
S02E08,2,8,Performance Review,ingestion/normalized_docs_txt/scripts/season_02/s02e08_performance_review_script.txt,16109,2907,4028,1800,3
S02E09,2,9,E-mail Surveillance,ingestion/normalized_docs_txt/scripts/season_02/s02e09_e_mail_surveillance_script.txt,18043,3302,4511,1800,3
S02E10,2,10,Christmas Party,ingestion/normalized_docs_txt/scripts/season_02/s02e10_christmas_party_script.txt,19596,3603,4899,1800,3
S02E11,2,11,Booze Cruise,ingestion/normalized_docs_txt/scripts/season_02/s02e11_booze_cruise_script.txt,16511,2978,4128,1800,3
S02E12,2,12,The Injury,ingestion/normalized_docs_txt/scripts/season_02/s02e12_the_injury_script.txt,21624,3979,5406,1800,4
S02E13,2,13,The Secret,ingestion/normalized_docs_txt/scripts/season_02/s02e13_the_secret_script.txt,16723,3122,4181,1800,3
S02E14,2,14,The Carpet,ingestion/normalized_docs_txt/scripts/season_02/s02e14_the_carpet_script.txt,19243,3544,4811,1800,3
S02E15,2,15,Boys and Girls,ingestion/normalized_docs_txt/scripts/season_02/s02e15_boys_and_girls_script.txt,19708,3628,4927,1800,3
S02E16,2,16,Valentine’s Day,ingestion/normalized_docs_txt/scripts/season_02/s02e16_valentine_s_day_script.txt,16979,3136,4245,1800,3
