episode_id,title,body_chars,body_approx_tokens,segment_target_tokens,min_tokens,segment_count,map_calls,reduce_calls,total_calls
S01E01,Pilot,17883,4471,1800,400,3,3,1,4
S01E02,Diversity Day,15782,3946,1800,400,3,3,1,4
S01E03,Health Care,17692,4423,1800,400,3,3,1,4
S01E04,The Alliance,19204,4801,1800,400,3,3,1,4
S01E05,Basketball,16912,4228,1800,400,3,3,1,4
S01E06,Hot Girl,20051,5013,1800,400,3,3,1,4
S02E01,The Dundies,19678,4920,1800,400,3,3,1,4
S02E02,Sexual Harassment,19541,4886,1800,400,3,3,1,4
S02E03,Office Olympics,17962,4491,1800,400,3,3,1,4
S02E04,The Fire,18436,4609,1800,400,3,3,1,4
S02E05,Halloween,18282,4571,1800,400,3,3,1,4
S02E06,The Fight,16315,4079,1800,400,3,3,1,4
S02E07,The Client,17068,4267,1800,400,3,3,1,4
S02E08,Performance Review,16067,4017,1800,400,3,3,1,4
S02E09,E-mail Surveillance,18000,4500,1800,400,3,3,1,4
S02E10,Christmas Party,19557,4890,1800,400,3,3,1,4
S02E11,Booze Cruise,16475,4119,1800,400,3,3,1,4
S02E12,The Injury,21590,5398,1800,400,4,4,1,5
S02E13,The Secret,16689,4173,1800,400,3,3,1,4
S02E14,The Carpet,19209,4803,1800,400,3,3,1,4
S02E15,Boys and Girls,19670,4918,1800,400,3,3,1,4
S02E16,Valentine’s Day,16940,4235,1800,400,3,3,1,4
S02E17,Dwight’s Speech,16780,4195,1800,400,3,3,1,4
S02E18,Take Your Daughter to Work Day,18917,4730,1800,400,3,3,1,4
S02E19,Michael’s Birthday,16646,4162,1800,400,3,3,1,4
S02E20,Drug Testing,17917,4480,1800,400,3,3,1,4
S02E21,Conflict Resolution,21028,5257,1800,400,3,3,1,4
S02E22,Casino Night,21598,5400,1800,400,4,4,1,5
S03E01,Gay Witch Hunt,15758,3940,1800,400,3,3,1,4
S03E02,The Convention,19313,4829,1800,400,3,3,1,4
S03E03,The Coup,19622,4906,1800,400,3,3,1,4
S03E04,Grief Counseling,24394,6099,1800,400,4,4,1,5
S03E05,Initiation,20505,5127,1800,400,3,3,1,4
S03E06,Diwali,18533,4634,1800,400,3,3,1,4
S03E07,Branch Closing,17839,4460,1800,400,3,3,1,4
S03E08,The Merger,33020,8255,1800,400,5,5,1,6
S03E09,The Convict,15448,3862,1800,400,3,3,1,4
S03E10,A Benihana Christmas,40598,10150,1800,400,6,6,1,7
S03E11,Back From Vacation,24607,6152,1800,400,4,4,1,5
S03E12,Traveling Salesmen,17907,4477,1800,400,3,3,1,4
S03E13,The Return,14374,3594,1800,400,3,3,1,4
S03E14,Ben Franklin,16478,4120,1800,400,3,3,1,4
S03E15,Phyllis’ Wedding,14087,3522,1800,400,2,2,1,3
S03E16,Business School,18683,4671,1800,400,3,3,1,4
S03E17,Cocktails,20331,5083,1800,400,3,3,1,4
S03E18,The Negotiation,24920,6230,1800,400,4,4,1,5
S03E19,Safety Training,25689,6423,1800,400,4,4,1,5
S03E20,Product Recall,29580,7395,1800,400,5,5,1,6
S03E21,Women’s Appreciation,26384,6596,1800,400,4,4,1,5
S03E22,Beach Games,30286,7572,1800,400,5,5,1,6
S03E23,The Job,38760,9690,1800,400,6,6,1,7
S04E01,Fun Run,40963,10241,1800,400,6,6,1,7
S04E02,Dunder Mifflin Infinity,21566,5392,1800,400,4,4,1,5
S04E03,Launch Party,40559,10140,1800,400,6,6,1,7
S04E04,Money,37771,9443,1800,400,6,6,1,7
S04E05,Local Ad,22118,5530,1800,400,4,4,1,5
S04E06,Branch Wars,22968,5742,1800,400,4,4,1,5
S04E07,Survivor Man,22085,5522,1800,400,4,4,1,5
S04E08,The Deposition,23395,5849,1800,400,4,4,1,5
