topiccards_scored_files=31
ok=31 bad=0

name	cases_scored	avg_overall	judge_cases	judge_errors	scored_cases_len
2026-03-05T04-36-33Z_topiccards_blended_baseline_similarity_k3.scored.json	7	56	7	0	7
2026-03-05T04-37-02Z_topiccards_blended_t1_similarity_k12.scored.json	7	59	7	0	7
2026-03-05T04-37-31Z_topiccards_blended_t2_mmr_k12_fetch40_l07_fixed.scored.json	7	61	7	0	7
2026-03-05T04-38-01Z_topiccards_blended_scene_chunks_mmr_k12.scored.json	7	50	7	0	7
2026-03-05T04-38-14Z_topiccards_blended_scene_chunks_similarity_k12.scored.json	7	46	7	0	7
2026-03-05T04-38-25Z_topiccards_blended_scene_chunks_mmr_k12_fetch80_lambda09.scored.json	7	49	7	0	7
2026-03-05T04-38-37Z_topiccards_blended_scene_chunks_mmr_k12_fetch80_lambda09_w1.scored.json	7	49	7	0	7
2026-03-05T04-38-50Z_topiccards_blended_qe_rrf_similarity_k12.scored.json	7	67	7	0	7
2026-03-05T04-39-32Z_topiccards_blended_qe_rrf_mmr_k12.scored.json	7	66	7	0	7
2026-03-05T04-41-53Z_topiccards_blended_baseline_similarity_k3.scored.json	7	51	7	0	7
2026-03-05T04-42-13Z_topiccards_blended_t1_similarity_k12.scored.json	7	60	7	0	7
2026-03-05T04-42-44Z_topiccards_blended_t2_mmr_k12_fetch40_l07_fixed.scored.json	7	67	7	0	7
2026-03-05T04-43-14Z_topiccards_blended_scene_chunks_mmr_k12.scored.json	7	53	7	0	7
2026-03-05T04-43-27Z_topiccards_blended_scene_chunks_similarity_k12.scored.json	7	50	7	0	7
2026-03-05T04-43-36Z_topiccards_blended_scene_chunks_mmr_k12_fetch80_lambda09.scored.json	7	53	7	0	7
2026-03-05T04-43-47Z_topiccards_blended_scene_chunks_mmr_k12_fetch80_lambda09_w1.scored.json	7	41	7	0	7
2026-03-05T04-43-57Z_topiccards_blended_qe_rrf_similarity_k12.scored.json	7	67	7	0	7
2026-03-05T04-44-37Z_topiccards_blended_qe_rrf_mmr_k12.scored.json	7	65	7	0	7
2026-03-05T04-45-34Z_topiccards_blended_meta_qe_rrf_mmr_k12.scored.json	7	57	7	0	7
2026-03-05T05-19-16Z_topiccards_blended_q5_fix_julie.scored.json	1	25	1	0	1
2026-03-05T05-21-28Z_topiccards_blended_q5_fix_julie_v2.scored.json	1	65	1	0	1
2026-03-05T05-25-19Z_topiccards_blended_q5_fix_holly_donna.scored.json	1	25	1	0	1
2026-03-05T05-42-39Z_topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3.scored.json	7	59	7	0	7
2026-03-05T05-42-59Z_topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12.scored.json	7	68	7	0	7
2026-03-05T05-43-28Z_topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed.scored.json	7	70	7	0	7
2026-03-05T05-45-11Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12.scored.json	7	59	7	0	7
2026-03-05T05-45-52Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_mmr_k12.scored.json	7	61	7	0	7
2026-03-05T05-46-48Z_topiccards_blended_gen_gpt_4_1_mini_meta_qe_rrf_mmr_k12.scored.json	7	51	7	0	7
2026-03-05T06-21-28Z_topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3.scored.json	7	60	7	0	7
2026-03-05T06-21-50Z_topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12.scored.json	7	61	7	0	7
2026-03-05T06-22-22Z_topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed.scored.json	7	69	7	0	7
