group,runs_total,runs_with_overall,best_avg_overall,best_run_id,best_run_name,worst_avg_overall,worst_run_id,worst_run_name
baseline,8,8,68,2026-03-05T04-41-53Z_topiccards_blended_baseline_similarity_k3,topiccards_blended_baseline_similarity_k3,57,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3
k12,8,8,75,2026-03-06T23-26-34Z_topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,67,2026-03-05T04-37-02Z_topiccards_blended_t1_similarity_k12,topiccards_blended_t1_similarity_k12
mmr,10,10,85,2026-03-06T23-27-05Z_topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed,topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed,62,2026-03-05T02-03-15Z_auto_t2_mmr_k12_fetch40_l07_fixed,auto_t2_mmr_k12_fetch40_l07_fixed
qe+fusion,7,7,75,2026-03-06T23-27-38Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12,52,2026-03-05T06-23-02Z_script_only_qe_rrf_allsteps_4_1_nano,script_only_qe_rrf_allsteps_4.1-nano
qe+fusion+mmr,7,7,77,2026-03-06T23-28-20Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_mmr_k12,topiccards_blended_gen_gpt_4_1_mini_qe_rrf_mmr_k12,64,2026-03-03T05-46-17Z_qe_rrf_mmr_k12,qe_rrf_mmr_k12
routing_blended,5,5,60,2026-03-06T06-25-58Z_evo_4_1_mini_2026_03_05_llm_step06_blended_sim_k16,evo_4_1_mini_2026-03-05_llm_step06_blended_sim_k16,46,2026-03-05T05-19-16Z_topiccards_blended_q5_fix_julie,topiccards_blended_q5_fix_julie
routing_derived_only,1,1,81,2026-03-06T06-24-31Z_evo_4_1_mini_2026_03_05_llm_step03_derived_only_sim_k8,evo_4_1_mini_2026-03-05_llm_step03_derived_only_sim_k8,81,2026-03-06T06-24-31Z_evo_4_1_mini_2026_03_05_llm_step03_derived_only_sim_k8,evo_4_1_mini_2026-03-05_llm_step03_derived_only_sim_k8
routing_derived_then_script,1,1,49,2026-03-06T06-24-53Z_evo_4_1_mini_2026_03_05_llm_step04_derived_then_script_sim_k10,evo_4_1_mini_2026-03-05_llm_step04_derived_then_script_sim_k10,49,2026-03-06T06-24-53Z_evo_4_1_mini_2026_03_05_llm_step04_derived_then_script_sim_k10,evo_4_1_mini_2026-03-05_llm_step04_derived_then_script_sim_k10
derived_meta,17,17,73,2026-03-05T02-29-38Z_meta_ingest_auto_qe_rrf_similarity_k12,meta_ingest_auto_qe_rrf_similarity_k12,58,2026-03-05T02-32-57Z_meta_ingest_blended_baseline_similarity_k3,meta_ingest_blended_baseline_similarity_k3
script_only,1,1,63,2026-03-06T06-22-20Z_evo_4_1_mini_2026_03_05_llm_step01_script_only_sim_k8,evo_4_1_mini_2026-03-05_llm_step01_script_only_sim_k8,63,2026-03-06T06-22-20Z_evo_4_1_mini_2026_03_05_llm_step01_script_only_sim_k8,evo_4_1_mini_2026-03-05_llm_step01_script_only_sim_k8
