group,runs_total,runs_with_overall,best_avg_overall,best_run_id,best_run_name,worst_avg_overall,worst_run_id,worst_run_name
step01,2,2,59,2026-03-06T06-22-20Z_evo_4_1_mini_2026_03_05_llm_step01_script_only_sim_k8,evo_4_1_mini_2026-03-05_llm_step01_script_only_sim_k8,22,2026-03-06T06-13-18Z_evo_4_1_mini_2026_03_05_step01_script_only_sim_k8,evo_4_1_mini_2026-03-05_step01_script_only_sim_k8
step02,2,2,61,2026-03-06T06-23-14Z_evo_4_1_mini_2026_03_05_llm_step02_script_only_mmr_k8,evo_4_1_mini_2026-03-05_llm_step02_script_only_mmr_k8,23,2026-03-06T06-13-23Z_evo_4_1_mini_2026_03_05_step02_script_only_mmr_k8,evo_4_1_mini_2026-03-05_step02_script_only_mmr_k8
step03,2,2,57,2026-03-06T06-24-31Z_evo_4_1_mini_2026_03_05_llm_step03_derived_only_sim_k8,evo_4_1_mini_2026-03-05_llm_step03_derived_only_sim_k8,1,2026-03-06T06-13-50Z_evo_4_1_mini_2026_03_05_step03_derived_only_sim_k8,evo_4_1_mini_2026-03-05_step03_derived_only_sim_k8
step04,2,2,38,2026-03-06T06-24-53Z_evo_4_1_mini_2026_03_05_llm_step04_derived_then_script_sim_k10,evo_4_1_mini_2026-03-05_llm_step04_derived_then_script_sim_k10,4,2026-03-06T06-13-57Z_evo_4_1_mini_2026_03_05_step04_derived_then_script_sim_k10,evo_4_1_mini_2026-03-05_step04_derived_then_script_sim_k10
step05,2,2,57,2026-03-06T06-25-22Z_evo_4_1_mini_2026_03_05_llm_step05_blended_sim_k12,evo_4_1_mini_2026-03-05_llm_step05_blended_sim_k12,32,2026-03-06T06-14-17Z_evo_4_1_mini_2026_03_05_step05_blended_sim_k12,evo_4_1_mini_2026-03-05_step05_blended_sim_k12
step06,2,2,56,2026-03-06T06-25-58Z_evo_4_1_mini_2026_03_05_llm_step06_blended_sim_k16,evo_4_1_mini_2026-03-05_llm_step06_blended_sim_k16,29,2026-03-06T06-14-23Z_evo_4_1_mini_2026_03_05_step06_blended_sim_k16,evo_4_1_mini_2026-03-05_step06_blended_sim_k16
baseline,11,11,72,2026-03-05T05-42-39Z_topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3,topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3,52,2026-03-06T23-26-08Z_topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3,topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3
mmr,11,11,72,2026-03-03T05-01-53Z_scene_chunks_mmr_k12_fetch80_lambda09,scene_chunks_mmr_k12_fetch80_lambda09,59,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed
other,5,5,68,2026-03-05T02-25-03Z_meta_ingest_auto_t1_similarity_k12,meta_ingest_auto_t1_similarity_k12,64,2026-03-03T04-50-43Z_scene_chunks_similarity_k12,scene_chunks_similarity_k12
qe+fusion,9,9,72,2026-03-05T04-38-50Z_topiccards_blended_qe_rrf_similarity_k12,topiccards_blended_qe_rrf_similarity_k12,49,2026-03-05T06-23-02Z_script_only_qe_rrf_allsteps_4_1_nano,script_only_qe_rrf_allsteps_4.1-nano
qe+fusion+mmr,14,14,69,2026-03-05T02-30-15Z_meta_ingest_auto_qe_rrf_mmr_k12,meta_ingest_auto_qe_rrf_mmr_k12,59,2026-03-04T04-37-56Z_qe_rrf_mmr_k12,qe_rrf_mmr_k12
routing_blended,10,10,69,2026-03-05T05-42-59Z_topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,11,2026-03-05T02-23-28Z_sanity_blended_similarity_k3,sanity_blended_similarity_k3
